"filename", "language", "XML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\ProfilePage.xaml", "XML", 58, 0, 0, 4, 16, 78
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\ProfilePage.xaml.cs", "C#", 0, 26, 0, 3, 2, 31
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\SideMenu.xaml", "XML", 62, 0, 0, 2, 12, 76
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\SideMenu.xaml.cs", "C#", 0, 24, 0, 3, 3, 30
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\TeamSelectPage.xaml", "XML", 185, 0, 0, 9, 14, 208
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\TeamSelectPage.xaml.cs", "C#", 0, 24, 0, 3, 3, 30
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\SignIn\GameModeChooser.xaml", "XML", 66, 0, 0, 2, 10, 78
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\SignIn\GameModeChooser.xaml.cs", "C#", 0, 26, 0, 3, 2, 31
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\SignIn\LogIn.xaml", "XML", 84, 0, 0, 4, 13, 101
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\SignIn\LogIn.xaml.cs", "C#", 0, 25, 0, 3, 2, 30
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\SignIn\SignUp.xaml", "XML", 130, 0, 0, 4, 8, 142
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\SignIn\SignUp.xaml.cs", "C#", 0, 34, 0, 4, 7, 45
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Windows\InputDialog.xaml", "XML", 46, 0, 0, 3, 4, 53
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Windows\InputDialog.xaml.cs", "C#", 0, 22, 0, 0, 4, 26
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Windows\SelectionDialog.xaml", "XML", 47, 0, 0, 3, 5, 55
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Windows\SelectionDialog.xaml.cs", "C#", 0, 28, 0, 3, 7, 38
"Total", "-", 2539, 5813, 420, 1125, 1143, 11040
